Название метки,Совпадение с результатом,Предсказанная метка
Самолёт,1,Самолёт
Собака,0,Кошка
Птица,1,Птица
Самолёт,1,Самолёт
Собака,1,Собака
Самолёт,1,Самолёт
Собака,0,Олень
Корабль,1,Корабль
Лягушка,1,Лягушка
Кошка,0,Собака
Грузовик,0,Автомобиль
Лягушка,1,Лягушка
Лягушка,1,Лягушка
Кошка,0,Собака
Грузовик,0,Самолёт
Олень,0,Лошадь
Корабль,0,Грузовик
Кошка,1,Кошка
Олень,1,Олень
Кошка,0,Собака
Автомобиль,1,Автомобиль
Автомобиль,1,Автомобиль
Птица,1,Птица
Грузовик,1,Грузовик
Лошадь,0,Олень
Корабль,1,Корабль
Собака,1,Собака
Собака,0,Лошадь
Корабль,0,Самолёт
Лягушка,0,Лошадь
Грузовик,1,Грузовик
Самолёт,1,Самолёт
Корабль,1,Корабль
Кошка,0,Самолёт
Собака,1,Собака
Автомобиль,1,Автомобиль
Кошка,0,Птица
Кошка,0,Лягушка
Собака,1,Собака
Собака,0,Олень
Кошка,0,Лягушка
Корабль,0,Самолёт
Автомобиль,0,Грузовик
Олень,0,Птица
Лягушка,0,Птица
Олень,1,Олень
Птица,0,Лошадь
Олень,0,Лягушка
Кошка,0,Собака
Корабль,1,Корабль
Грузовик,1,Грузовик
Лягушка,1,Лягушка
Лягушка,1,Лягушка
Лягушка,1,Лягушка
Собака,1,Собака
Собака,0,Птица
Птица,1,Птица
Лошадь,1,Лошадь
Лошадь,1,Лошадь
Олень,1,Олень
Олень,1,Олень
Грузовик,1,Грузовик
Кошка,0,Собака
Корабль,1,Корабль
Кошка,0,Олень
Лошадь,0,Грузовик
Лошадь,1,Лошадь
Корабль,1,Корабль
Собака,1,Собака
Кошка,0,Птица
Грузовик,1,Грузовик
Автомобиль,1,Автомобиль
Лягушка,1,Лягушка
Лошадь,0,Собака
Кошка,0,Собака
Кошка,1,Кошка
Кошка,1,Кошка
Корабль,1,Корабль
Собака,1,Собака
Лягушка,1,Лягушка
Автомобиль,0,Самолёт
Кошка,1,Кошка
Лошадь,1,Лошадь
Грузовик,1,Грузовик
Лягушка,0,Кошка
Автомобиль,1,Автомобиль
Лягушка,1,Лягушка
Олень,0,Лошадь
Грузовик,1,Грузовик
Самолёт,0,Птица
Собака,0,Кошка
Лошадь,1,Лошадь
Олень,1,Олень
Грузовик,1,Грузовик
Автомобиль,1,Автомобиль
Самолёт,0,Лягушка
Самолёт,1,Самолёт
Птица,0,Лягушка
Лошадь,1,Лошадь
Корабль,1,Корабль
Кошка,0,Лошадь
Птица,0,Собака
Лошадь,0,Грузовик
Лягушка,1,Лягушка
Автомобиль,1,Автомобиль
Лягушка,1,Лягушка
Лягушка,1,Лягушка
Олень,0,Птица
Олень,0,Лягушка
Птица,0,Самолёт
Автомобиль,1,Автомобиль
Корабль,1,Корабль
Олень,1,Олень
Олень,1,Олень
Лошадь,0,Кошка
Корабль,1,Корабль
Собака,1,Собака
Корабль,1,Корабль
Грузовик,1,Грузовик
Олень,0,Птица
Кошка,1,Кошка
Птица,1,Птица
Птица,0,Кошка
Грузовик,0,Автомобиль
Кошка,0,Корабль
Самолёт,0,Корабль
Автомобиль,1,Автомобиль
Автомобиль,1,Автомобиль
Автомобиль,1,Автомобиль
Автомобиль,1,Автомобиль
Лягушка,1,Лягушка
Корабль,1,Корабль
Лошадь,0,Кошка
Автомобиль,1,Автомобиль
Кошка,0,Собака
Самолёт,0,Птица
Олень,1,Олень
Собака,0,Олень
Самолёт,1,Самолёт
Кошка,0,Самолёт
Самолёт,1,Самолёт
Лягушка,1,Лягушка
Птица,0,Олень
Самолёт,0,Птица
Грузовик,1,Грузовик
Корабль,1,Корабль
Лягушка,1,Лягушка
Корабль,1,Корабль
Собака,1,Собака
Корабль,1,Корабль
Птица,0,Олень
Грузовик,1,Грузовик
Лягушка,1,Лягушка
Самолёт,1,Самолёт
Лягушка,1,Лягушка
Автомобиль,1,Автомобиль
Корабль,1,Корабль
Лошадь,0,Птица
Кошка,0,Лягушка
Птица,1,Птица
Птица,1,Птица
Лягушка,1,Лягушка
Собака,0,Кошка
Лягушка,1,Лягушка
Грузовик,1,Грузовик
Птица,1,Птица
Собака,1,Собака
Олень,1,Олень
Грузовик,1,Грузовик
Корабль,1,Корабль
Собака,1,Собака
Кошка,0,Собака
Грузовик,1,Грузовик
Кошка,0,Грузовик
Собака,1,Собака
Лошадь,1,Лошадь
Автомобиль,1,Автомобиль
Корабль,1,Корабль
Собака,1,Собака
Корабль,1,Корабль
Лягушка,1,Лягушка
Птица,0,Лошадь
Собака,1,Собака
Автомобиль,1,Автомобиль
Кошка,1,Кошка
Самолёт,1,Самолёт
Олень,0,Птица
Автомобиль,1,Автомобиль
Грузовик,1,Грузовик
Собака,0,Олень
Олень,1,Олень
Грузовик,1,Грузовик
Птица,0,Самолёт
Автомобиль,1,Автомобиль
Олень,1,Олень
Птица,0,Олень
Собака,1,Собака
Грузовик,1,Грузовик
Корабль,1,Корабль
Лошадь,0,Олень
Птица,0,Олень
Автомобиль,0,Кошка
Лягушка,1,Лягушка
Грузовик,0,Автомобиль
Лошадь,1,Лошадь
Кошка,0,Собака
Лягушка,1,Лягушка
Собака,0,Автомобиль
Корабль,1,Корабль
Самолёт,0,Корабль
Птица,1,Птица
Птица,0,Самолёт
Олень,1,Олень
Грузовик,1,Грузовик
Самолёт,0,Птица
Собака,1,Собака
Собака,1,Собака
Олень,0,Птица
Птица,1,Птица
Кошка,0,Птица
Автомобиль,1,Автомобиль
Самолёт,1,Самолёт
Кошка,0,Автомобиль
Самолёт,1,Самолёт
Олень,1,Олень
Олень,0,Собака
Грузовик,1,Грузовик
Автомобиль,1,Автомобиль
Кошка,0,Собака
Кошка,0,Олень
Самолёт,0,Грузовик
Птица,1,Птица
Автомобиль,1,Автомобиль
Автомобиль,1,Автомобиль
Самолёт,1,Самолёт
Олень,1,Олень
Автомобиль,1,Автомобиль
Грузовик,1,Грузовик
Олень,1,Олень
Корабль,1,Корабль
Автомобиль,1,Автомобиль
Автомобиль,1,Автомобиль
Автомобиль,1,Автомобиль
Собака,1,Собака
Грузовик,1,Грузовик
Корабль,0,Самолёт
Автомобиль,1,Автомобиль
Лягушка,1,Лягушка
Лошадь,1,Лошадь
Птица,0,Лягушка
Грузовик,1,Грузовик
Грузовик,1,Грузовик
Лошадь,0,Птица
Корабль,1,Корабль
Корабль,1,Корабль
Автомобиль,1,Автомобиль
Грузовик,0,Корабль
Лошадь,1,Лошадь
Корабль,1,Корабль
Грузовик,0,Корабль
Автомобиль,1,Автомобиль
Лягушка,1,Лягушка
Лягушка,1,Лягушка
Кошка,0,Лягушка
Кошка,0,Лошадь
Автомобиль,1,Автомобиль
Кошка,0,Птица
Самолёт,0,Грузовик
Корабль,1,Корабль
Корабль,1,Корабль
Кошка,0,Грузовик
Лягушка,1,Лягушка
Лягушка,1,Лягушка
Лошадь,0,Собака
Автомобиль,0,Грузовик
Самолёт,1,Самолёт
Лошадь,1,Лошадь
Лягушка,0,Кошка
Олень,0,Птица
Корабль,0,Автомобиль
Птица,0,Лягушка
Самолёт,1,Самолёт
Лягушка,1,Лягушка
Лягушка,1,Лягушка
Корабль,0,Самолёт
Лягушка,1,Лягушка
Кошка,0,Лошадь
Автомобиль,0,Грузовик
Автомобиль,1,Автомобиль
Корабль,1,Корабль
Лягушка,1,Лягушка
Лошадь,1,Лошадь
Самолёт,1,Самолёт
Собака,1,Собака
Олень,1,Олень
Кошка,1,Кошка
Птица,1,Птица
Автомобиль,1,Автомобиль
Лошадь,1,Лошадь
Корабль,1,Корабль
Птица,0,Лягушка
Самолёт,0,Лошадь
Автомобиль,0,Корабль
Лошадь,1,Лошадь
Олень,0,Самолёт
Корабль,1,Корабль
Лошадь,1,Лошадь
Лягушка,1,Лягушка
Лягушка,1,Лягушка
Лошадь,1,Лошадь
